person,state,district,vote,name,party
300021,GA,8,Not Voting,"Rep. Saxby Chambliss [R, 1995-2002]",Republican
300047,SC,3,Not Voting,"Rep. Lindsey Graham [R, 1995-2002]",Republican
300093,MI,8,Not Voting,"Rep. Debbie Stabenow [D, 1997-2000]",Democrat
300095,NH,1,Present,"Rep. John Sununu [R, 1997-2002]",Republican
300096,MO,2,Not Voting,"Rep. James “Jim” Talent [R, 1993-2000]",Republican
400001,HI,1,Not Voting,"Rep. Neil Abercrombie [D, 1991-2010]",Democrat
400003,NY,5,Present,"Rep. Gary Ackerman [D, 1993-2012]",Democrat
400004,AL,4,Not Voting,"Rep. Robert Aderholt [R, 1997-2018]",Republican
400007,ME,1,Present,"Rep. Thomas “Tom” Allen [D, 1997-2008]",Democrat
400008,NJ,1,Not Voting,"Rep. Robert “Rob” Andrews [D, 1990-2014]",Democrat
400009,CA,42,Present,"Rep. Joe Baca [D, 1999-2002]",Democrat
400010,AL,6,Present,"Rep. Spencer Bachus III [R, 1993-2014]",Republican
400011,WA,3,Present,"Rep. Brian Baird [D, 1999-2010]",Democrat
400012,LA,6,Not Voting,"Rep. Richard Baker [R, 1987-2008]",Republican
400013,WI,2,Present,"Rep. Tammy Baldwin [D, 1999-2012]",Democrat
400015,NC,10,Present,"Rep. Cass Ballenger [R, 1986-2004]",Republican
400017,MD,6,Present,"Rep. Roscoe Bartlett [R, 1993-2012]",Republican
400018,TX,6,Not Voting,"Rep. Joe Barton [R, 1985-2018]",Republican
400019,NH,2,Not Voting,"Rep. Charles “Charlie” Bass [R, 1995-2006]",Republican
400021,CA,30,Present,"Rep. Xavier Becerra [D, 1993-2002]",Democrat
400023,NE,1,Present,"Rep. Douglas “Doug” Bereuter [R, 1979-2004]",Republican
400024,NV,1,Present,"Rep. Shelley Berkley [D, 1999-2012]",Democrat
400025,CA,26,Not Voting,"Rep. Howard Berman [D, 1983-2002]",Democrat
400026,AR,1,Present,"Rep. Robert “Marion” Berry [D, 1997-2010]",Democrat
400027,IL,13,Present,"Rep. Judy Biggert [R, 1999-2012]",Republican
400028,FL,9,Not Voting,"Rep. Michael Bilirakis [R, 1983-2006]",Republican
400030,GA,2,Present,"Rep. Sanford Bishop Jr. [D, 1993-2018]",Democrat
400033,OR,3,Present,"Rep. Earl Blumenauer [D, 1996-2018]",Democrat
400034,MO,7,Present,"Rep. Roy Blunt [R, 1997-2010]",Republican
400035,NY,23,Present,"Rep. Sherwood “Sherry” Boehlert [R, 1993-2002]",Republican
400036,OH,8,Not Voting,"Rep. John Boehner [R, 1991-2015]",Republican
400037,TX,23,Present,"Rep. Henry Bonilla [R, 1993-2006]",Republican
