400003,Gary Ackerman
400004,Robert Aderholt
400005,Todd Akin
400006,Rodney Alexander
400008,Robert Andrews
400009,Joe Baca
400010,Spencer Bachus
400013,Tammy Baldwin
400017,Roscoe Bartlett
400018,Joe Barton
400019,Charles Bass
400021,Xavier Becerra
400024,Shelley Berkley
400025,Howard Berman
400027,Judy Biggert
400029,Rob Bishop
400030,Sanford Bishop
400031,Timothy Bishop
400032,Marsha Blackburn
400033,Earl Blumenauer
400036,John Boehner
400038,Jo Bonner
400039,Mary Bono Mack
400042,Leonard Boswell
400046,Kevin Brady
400047,Robert Brady
400048,Corrine Brown
400052,Michael Burgess
400055,Dan Burton
400057,Ken Calvert
400058,Dave Camp
400060,Eric Cantor
400061,Shelley Capito
400062,Lois Capps
400063,Michael Capuano
400065,Dennis Cardoza
400068,John Carter
400071,Steve Chabot
400074,Lacy Clay
400075,James Clyburn
400076,Howard Coble
400077,Tom Cole
400080,John Conyers
400081,Jim Cooper
400082,Jerry Costello
400086,Ander Crenshaw
400087,Joseph Crowley
400089,John Culberson
400090,Elijah Cummings
400093,Danny Davis
400097,Susan Davis
400101,Diana DeGette
400103,Rosa DeLauro
400108,Mario Diaz-Balart
400109,Norman Dicks
400110,John Dingell
400111,Lloyd Doggett
400114,Michael Doyle
400115,David Dreier
400116,John Duncan
400121,Jo Ann Emerson
400122,Eliot Engel
400124,Anna Eshoo
400129,Sam Farr
400130,Chaka Fattah
400133,Bob Filner
400134,Jeff Flake
400137,Randy Forbes
400140,Barney Frank
400141,Trent Franks
400142,Rodney Frelinghuysen
400144,Elton Gallegly
400145,Scott Garrett
400147,Jim Gerlach
400151,Phil Gingrey
400152,Charles Gonzalez
400154,Bob Goodlatte
400157,Kay Granger
400158,Sam Graves
400160,Gene Green
400162,Raúl Grijalva
400163,Luis Gutiérrez
400165,Ralph Hall
400166,Jane Harman
400170,Alcee Hastings
400171,Doc Hastings
400175,Jeb Hensarling
400176,Walter Herger
400178,Maurice Hinchey
